IDCountry,NameCountry
918,No Country on this record
919,No Country on this record
920,No Country on this record
921,No Country on this record
922,No Country on this record
923,No Country on this record
924,No Country on this record
925,No Country on this record
926,No Country on this record
927,No Country on this record
928,No Country on this record
929,No Country on this record
930,No Country on this record
931,No Country on this record
932,No Country on this record
933,No Country on this record
934,No Country on this record
935,No Country on this record
936,No Country on this record
937,No Country on this record
938,No Country on this record
939,No Country on this record
940,No Country on this record
941,No Country on this record
942,No Country on this record
943,No Country on this record
944,No Country on this record
945,No Country on this record
946,No Country on this record
947,No Country on this record
948,No Country on this record
949,No Country on this record
950,No Country on this record
951,No Country on this record
952,No Country on this record
953,No Country on this record
954,No Country on this record
955,No Country on this record
956,No Country on this record
957,No Country on this record
958,No Country on this record
959,No Country on this record
960,No Country on this record
961,No Country on this record
962,No Country on this record
963,No Country on this record
964,No Country on this record
965,No Country on this record
966,No Country on this record
967,No Country on this record
968,No Country on this record
969,No Country on this record
970,No Country on this record
971,No Country on this record
972,No Country on this record
973,No Country on this record
974,No Country on this record
975,No Country on this record
976,No Country on this record
977,No Country on this record
978,No Country on this record
979,No Country on this record
980,No Country on this record
981,No Country on this record
982,No Country on this record
983,No Country on this record
984,No Country on this record
985,No Country on this record
986,No Country on this record
987,No Country on this record
988,No Country on this record
989,No Country on this record
990,No Country on this record
991,No Country on this record
992,No Country on this record
993,No Country on this record
994,No Country on this record
995,No Country on this record
996,No Country on this record
997,No Country on this record
998,No Country on this record
999,No Country on this record
